category_1,category_2,category_3,title,product_rating,selling_price(KSH.),mrp(KSH.),seller_name,seller_rating,price_ratio,price_difference,ID
"Sports, Books and More",Sports,Cricket ,ITWOSERVICES CRICKET NET 100X10 CRICKET NET NYLON HDPE Cricket Net  (Green),4.4,1227.4,3040.0,I2SERVICES,4.4,0.40375000000000005,-1812.6,1
"Sports, Books and More",Sports,Cricket ,ITWOSERVICES CRICKET NET GROUND BOUNDARY NET 10X10 FEET Cricket Net  (Green),4.4,115.52,456.0,I2SERVICES,4.4,0.2533333333333333,-340.48,2
"Sports, Books and More",Sports,Cricket ,VICTORY Medium Weight ( Pack of 1 ) Rubber Cricket Tennis Ball Cricket Rubber Ball  (Pack of 1),3.7,44.84,151.24,VictoryOutlets,4.7,0.2964824120603015,-106.4,3
"Sports, Books and More",Sports,Cricket ,VICTORY Cricket Wind Ball (Pack of 1) - Made in India Smooth Cricket Cricket Synthetic Ball  (Pack of 1),3.8,57.0,227.24,VictoryOutlets,4.7,0.2508361204013378,-170.24,4
"Sports, Books and More",Sports,Cricket ,CEAT Hitman Full Size Double Blade Poplar Cricket Bat - Advance Play Poplar Willow Cricket  Bat  (1.2 kg),3.4,250.04,1063.24,IndiaFit,4.7,0.23516797712651893,-813.2,5
"Sports, Books and More",Sports,Cricket ,VICTORY Cricket Wind Ball (Pack of 1) - Made in India Smooth Cricket Cricket Synthetic Ball  (Pack of 1),3.8,57.0,227.24,VictoryOutlets,4.7,0.2508361204013378,-170.24,6
"Sports, Books and More",Sports,Cricket ,Ceat six hitman Bat with COVER Poplar Willow Cricket  Bat  (900-1000 g),3.5,250.04,1744.2,IndiaFit,4.7,0.14335511982570806,-1494.16,7
"Sports, Books and More",Sports,Cricket ,VECTOR X Cricket Bat Grip Handle Chevron Extra Tacky Cricket Grip Ultra Tacky  (Pack of 6),4.1,280.44,300.96,SOCCERINTERNATIONAL,4.1,0.9318181818181819,-20.519999999999982,8
"Sports, Books and More",Sports,Cricket ,LYCAN Full Size Pvc/ Hard Plastic Cricket Bat For age 15+ PVC/Plastic Cricket  Bat  (800 g),4.0,189.24,835.24,sellguru,4.8,0.22656960873521384,-646.0,9
"Sports, Books and More",Sports,Cricket ,LYCAN Junior Cricket Bat Size 3 For Age Group 8 Years PVC/Plastic Cricket  Bat  (400 g),3.9,189.24,0.0,sellguru,4.8,inf,189.24,10
